id,name,reasson,group_name,group_description
0,voice command feature,user wants to talk to the ai for recommendations like 'serious spy series',cluster 6,"engine,smart,content,similar,recommendation"
1,expand content choices,user feels limited by the few icons and choices available,cluster 7,"profile,content,choice,common,friend"
2,expand content library,"user found limited recommendations, suggesting an expansion of the content library.",cluster 10,"flexibility,library,variation,customization,recommendation"
3,smart recommendation engine,"user wants a smart engine for recommendations based on richer content descriptions, similar titles, and timing/mood.",cluster 6,"engine,smart,content,similar,recommendation"
4,profile matching feature,user suggests a feature to connect and match profiles with their spouse to find common interests for watching together.,cluster 7,"profile,content,choice,common,friend"
5,ai chat assistant,user recommends adding an ai chat assistant that learns from user's prompts and history to provide personalized advice.,cluster 8,"assistant,chat,letterboxd,chatbot,support"
6,distinguish chat-prompt bubbles from content labels,"the design of chat-prompt bubbles and content labels for movies/tv shows are very similar, making it confusing for users. consider differentiating their designs.",cluster -1,"mood,category,wdyt,genre,like"
7,feature request: share recommendations,user suggests adding the ability to share recommendations with friends.,cluster 7,"profile,content,choice,common,friend"
8,more options in mood categories,"user suggests adding more options in mood categories, including movies from other platforms like youtube.",cluster 2,"netflix,imdb,tv,apple,integration"
9,show movies from non-subscribed apps,user requests an option to display movies from apps they are not subscribed to when options run out.,cluster 3,"movie,tab,app,delete,switching"
10,user feedback interview,perform topic modeling on the user feedback interview,cluster -1,"mood,category,wdyt,genre,like"
11,letterboxd support,user mentioned letterboxd support in the interview.,cluster 8,"assistant,chat,letterboxd,chatbot,support"
12,add feedback option for recommendations,user wants the ability to provide feedback on recommendations when pressing thumbs down and selecting another one.,cluster -1,"mood,category,wdyt,genre,like"
13,text message feature,user misses the text message feature.,cluster 5,"code,sms,login,phone,number"
14,connect with partner and friends,allow users to connect with their partner and friends within the app.,cluster -1,"mood,category,wdyt,genre,like"
15,tag recommendations,enable users to tag recommendations for watching later.,cluster 10,"flexibility,library,variation,customization,recommendation"
16,to watch list,add a feature to create a 'to watch' list for users.,cluster 9,"category,special,theme,title,link"
17,include ratings from rotten tomatoes and imdb,add external ratings to provide more information about the content,cluster -1,"mood,category,wdyt,genre,like"
18,create a netflix rating system,allow users to rate content within the platform,cluster 2,"netflix,imdb,tv,apple,integration"
19,recommend and share content with friends,add a feature to recommend and share content with friends,cluster 7,"profile,content,choice,common,friend"
20,add a kids category or mood,include a separate category or mood for kids content,cluster -1,"mood,category,wdyt,genre,like"
21,expand title suggestions,user wants more title suggestions in their desired categories.,cluster 9,"category,special,theme,title,link"
22,improvement suggestion,"smooth and fast user experience, minimize time, clicks, and work required to reach the end goal",cluster 0,"speed,fast,loading,experience,algorithm"
23,improve user retention and engagement,"explore additional use cases for the app to increase user retention and engagement, such as integrating imdb-like features or options like 'more from this actor'.",cluster 2,"netflix,imdb,tv,apple,integration"
24,home button clarity,user is unsure about the purpose of the home button and suggests improving its functionality or removing it.,cluster 1,"home,button,preference,text,app"
25,mark saved movies as seen,user requests the ability to mark saved movies as seen.,cluster 4,"movie,platform,recommendation,ability,sport"
26,link imdb or apple tv account,integrate netflix with imdb or apple tv account for live recommendations.,cluster 2,"netflix,imdb,tv,apple,integration"
27,improve matching accuracy,enhance the accuracy of movie and tv show matches in netflix.,cluster 2,"netflix,imdb,tv,apple,integration"
28,improve netflix for less active watchers,"user suggests improving netflix for those who are not actively watching, as they may not be the best target group.",cluster 2,"netflix,imdb,tv,apple,integration"
29,flag watched content,user suggests flagging already watched shows/movies,cluster 4,"movie,platform,recommendation,ability,sport"
30,add specials category,user requests a category for specials,cluster 9,"category,special,theme,title,link"
31,improvement suggestion,add more categories,cluster 9,"category,special,theme,title,link"
32,safe cards and genre exploration,user suggests providing safe cards initially and allowing exploration of more genres based on usage.,cluster -1,"mood,category,wdyt,genre,like"
33,customization options,"user wants more customization options, such as choosing categories and setting minimum ratings.",cluster 10,"flexibility,library,variation,customization,recommendation"
34,loading speed,user finds the loading speed to be slow and would like it to be faster.,cluster 0,"speed,fast,loading,experience,algorithm"
35,chat interaction,"user would like to interact with the chat feature, as it is the new standard.",cluster -1,"mood,category,wdyt,genre,like"
36,improve content suggestions,suggest more content that the user hasn't seen or chose not to watch.,cluster 9,"category,special,theme,title,link"
37,improve recommendation variety,increase the variation of recommendations provided,cluster -1,"mood,category,wdyt,genre,like"
38,customize recommendation algorithm,allow users to easily adapt the algorithm and tweak recommendation settings,cluster 0,"speed,fast,loading,experience,algorithm"
39,preference update issue,"user unable to change preferences, receiving unwanted recommendations.",cluster 1,"home,button,preference,text,app"
40,multiplayer mode,user suggests adding a multiplayer mode to connect accounts with their spouse.,cluster -1,"mood,category,wdyt,genre,like"
41,interactivity with recommendations,user wants the ability to interact with the app when it recommends movies and series,cluster 4,"movie,platform,recommendation,ability,sport"
42,request for multiplayer mode,user wants to connect their account with their spouse for a multiplayer experience.,cluster -1,"mood,category,wdyt,genre,like"
43,need more information about recommendations,user wants more information about the recommended movies.,cluster 4,"movie,platform,recommendation,ability,sport"
44,mark movies as watched,user wants the ability to mark movies as watched and remove them from the bookmark page.,cluster 4,"movie,platform,recommendation,ability,sport"
45,like button issue,user is unable to press the like button.,cluster 1,"home,button,preference,text,app"
46,theme changing problems,user had initial problems changing the theme and the theme changing back.,cluster 9,"category,special,theme,title,link"
47,app relevance,"user does not see the point of the app, as they have either seen the content or the match is wrong.",cluster 1,"home,button,preference,text,app"
