id,name,reasson,group_name,group_description
0,voice command feature,user wants to talk to the ai for recommendations like 'serious spy series',cluster 7,cluster 7 - big authentication click behavior card affordance annoying chatbot clarity auto
1,expand content choices,user feels limited by the few icons and choices available,cluster 4,cluster 4 - account alternative button behavior 2fa clear actively command age affordance
2,expand content library,"user found limited recommendations, suggesting an expansion of the content library.",cluster 4,cluster 4 - account alternative button behavior 2fa clear actively command age affordance
3,smart recommendation engine,"user wants a smart engine for recommendations based on richer content descriptions, similar titles, and timing/mood.",cluster 13,cluster 13 - chat bubble card adventure assistant advice appropriate 2fa apple absence
4,profile matching feature,user suggests a feature to connect and match profiles with their spouse to find common interests for watching together.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
5,ai chat assistant,user recommends adding an ai chat assistant that learns from user's prompts and history to provide personalized advice.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
6,distinguish chat-prompt bubbles from content labels,"the design of chat-prompt bubbles and content labels for movies/tv shows are very similar, making it confusing for users. consider differentiating their designs.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
7,feature request: share recommendations,user suggests adding the ability to share recommendations with friends.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
8,more options in mood categories,"user suggests adding more options in mood categories, including movies from other platforms like youtube.",cluster 10,cluster 10 - command appropriate ability bubble clip box bookmark ai category advice
9,show movies from non-subscribed apps,user requests an option to display movies from apps they are not subscribed to when options run out.,cluster 1,cluster 1 - bookmark 2fa available accuracy card choice click annoying clarity alternative
10,user feedback interview,perform topic modeling on the user feedback interview,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
11,letterboxd support,user mentioned letterboxd support in the interview.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
12,add feedback option for recommendations,user wants the ability to provide feedback on recommendations when pressing thumbs down and selecting another one.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
13,text message feature,user misses the text message feature.,cluster 14,cluster 14 - case categorize adventure accuracy clarity app chatbot common chat available
14,connect with partner and friends,allow users to connect with their partner and friends within the app.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
15,tag recommendations,enable users to tag recommendations for watching later.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
16,to watch list,add a feature to create a 'to watch' list for users.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
17,include ratings from rotten tomatoes and imdb,add external ratings to provide more information about the content,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
18,create a netflix rating system,allow users to rate content within the platform,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
19,recommend and share content with friends,add a feature to recommend and share content with friends,cluster 4,cluster 4 - account alternative button behavior 2fa clear actively command age affordance
20,add a kids category or mood,include a separate category or mood for kids content,cluster 10,cluster 10 - command appropriate ability bubble clip box bookmark ai category advice
21,expand title suggestions,user wants more title suggestions in their desired categories.,cluster 13,cluster 13 - chat bubble card adventure assistant advice appropriate 2fa apple absence
22,improvement suggestion,"smooth and fast user experience, minimize time, clicks, and work required to reach the end goal",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
23,improve user retention and engagement,"explore additional use cases for the app to increase user retention and engagement, such as integrating imdb-like features or options like 'more from this actor'.",cluster 7,cluster 7 - big authentication click behavior card affordance annoying chatbot clarity auto
24,home button clarity,user is unsure about the purpose of the home button and suggests improving its functionality or removing it.,cluster 6,cluster 6 - actionable app clip behavior accuracy categorize actively auto available common
25,mark saved movies as seen,user requests the ability to mark saved movies as seen.,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
26,link imdb or apple tv account,integrate netflix with imdb or apple tv account for live recommendations.,cluster 8,cluster 8 - code advice button clarity assistant categorize bus appropriate availability big
27,improve matching accuracy,enhance the accuracy of movie and tv show matches in netflix.,cluster 8,cluster 8 - code advice button clarity assistant categorize bus appropriate availability big
28,improve netflix for less active watchers,"user suggests improving netflix for those who are not actively watching, as they may not be the best target group.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
29,flag watched content,user suggests flagging already watched shows/movies,cluster 4,cluster 4 - account alternative button behavior 2fa clear actively command age affordance
30,add specials category,user requests a category for specials,cluster 3,cluster 3 - additional alternative apple clarity category authentication advice assistant attempt command
31,improvement suggestion,add more categories,cluster 3,cluster 3 - additional alternative apple clarity category authentication advice assistant attempt command
32,safe cards and genre exploration,user suggests providing safe cards initially and allowing exploration of more genres based on usage.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
33,customization options,"user wants more customization options, such as choosing categories and setting minimum ratings.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
34,loading speed,user finds the loading speed to be slow and would like it to be faster.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
35,chat interaction,"user would like to interact with the chat feature, as it is the new standard.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
36,improve content suggestions,suggest more content that the user hasn't seen or chose not to watch.,cluster 4,cluster 4 - account alternative button behavior 2fa clear actively command age affordance
37,improve recommendation variety,increase the variation of recommendations provided,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
38,customize recommendation algorithm,allow users to easily adapt the algorithm and tweak recommendation settings,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
39,preference update issue,"user unable to change preferences, receiving unwanted recommendations.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
40,multiplayer mode,user suggests adding a multiplayer mode to connect accounts with their spouse.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
41,interactivity with recommendations,user wants the ability to interact with the app when it recommends movies and series,cluster 2,cluster 2 - active authentication adventure behavior 2fa affordance code auto clear advice
42,request for multiplayer mode,user wants to connect their account with their spouse for a multiplayer experience.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
43,need more information about recommendations,user wants more information about the recommended movies.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
44,mark movies as watched,user wants the ability to mark movies as watched and remove them from the bookmark page.,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
45,like button issue,user is unable to press the like button.,cluster 6,cluster 6 - actionable app clip behavior accuracy categorize actively auto available common
46,theme changing problems,user had initial problems changing the theme and the theme changing back.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
47,app relevance,"user does not see the point of the app, as they have either seen the content or the match is wrong.",cluster 1,cluster 1 - bookmark 2fa available accuracy card choice click annoying clarity alternative
48,integration with imdb and apple tv,user would like the ability to link their imdb or apple tv account for live recommendations.,cluster 8,cluster 8 - code advice button clarity assistant categorize bus appropriate availability big
49,wdyt confusion,user did not initially understand the meaning of wdyt.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
50,sharing recommendations,user wanted to share a movie recommendation with a friend and had to use a screenshot.,cluster 2,cluster 2 - active authentication adventure behavior 2fa affordance code auto clear advice
51,thumbs down interaction,"user expected a new recommendation after clicking thumbs down, but had to click twice.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
52,description visibility,user found it annoying to open a new window to read the full description of a recommendation.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
53,feedback on dislikes,user wants to provide more information on why they disliked a recommendation.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
54,login issue,copy from message feature not working for invite code,cluster 5,cluster 5 - actor clear availability behavior button choice apple clip account age
55,invite code editing,difficulty in editing the invite code,cluster 9,cluster 9 - actively category annoying attempt bus age clarity click 2fa actionable
56,text display,"texts not showing correctly (tv-show, movie)",cluster 14,cluster 14 - case categorize adventure accuracy clarity app chatbot common chat available
57,chat button,clicking the chat button did nothing,cluster 6,cluster 6 - actionable app clip behavior accuracy categorize actively auto available common
58,wdyt meaning,user did not understand the meaning of wdyt initially.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
59,responding to wdyt,user was unsure how to respond to the wdyt question.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
60,saving movie history,user forgot to save a movie and lost their history.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
61,sharing movie recommendations,user wanted to share a movie recommendation with a friend but had to use a screenshot.,cluster 2,cluster 2 - active authentication adventure behavior 2fa affordance code auto clear advice
62,thumbs down interaction,user expected a new movie recommendation after clicking thumbs down but had to click twice.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
63,content recommendation,user stopped watching a recommended show due to its political correctness.,cluster 4,cluster 4 - account alternative button behavior 2fa clear actively command age affordance
64,include ratings from rotten tomatoes and imdb,user requests integration of rotten tomatoes and imdb ratings in the netflix app.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
65,create your own rating system,user suggests the ability to create and submit their own ratings for content.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
66,recommend and share content with friends,user wants the ability to recommend and share content with friends through the netflix app.,cluster 4,cluster 4 - account alternative button behavior 2fa clear actively command age affordance
67,add 'kids' as a category or mood,user requests a separate 'kids' category or mood for more age-appropriate content suggestions.,cluster 10,cluster 10 - command appropriate ability bubble clip box bookmark ai category advice
68,login issue with finnish or danish phone number,can't log in with finnish or danish phone number,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
69,sms 2fa auto-fetch issue,the app can only fetch the first number of the sms 2fa automatically,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
70,app error message,received 'oops something went wrong' error message,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
71,movie recommendation feedback,"wants option to say 'i've seen this before, recommend something similar'",cluster 2,cluster 2 - active authentication adventure behavior 2fa affordance code auto clear advice
72,thumbs up button issue,thumbs up button didn't work,cluster 6,cluster 6 - actionable app clip behavior accuracy categorize actively auto available common
73,smooth and fast user experience,wants a smoother and faster user experience,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
74,login issues,user is having trouble logging in and not receiving sms code for authentication. user is based in denmark.,cluster 5,cluster 5 - actor clear availability behavior button choice apple clip account age
75,improve recommendation system,user wants a way to inform the system about seen and unseen content to get better recommendations.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
76,mood-based chat improvement,user suggests combining mood and genre in a clearer way.,cluster 10,cluster 10 - command appropriate ability bubble clip box bookmark ai category advice
77,sms verification code issue,user could not paste the verification code in the form.,cluster 9,cluster 9 - actively category annoying attempt bus age clarity click 2fa actionable
78,more flexibility in recommendations,user wants more flexibility in recommendations and the ability to ask for specific categories.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
79,saving recommendations in chat,user suggests the ability to save recommendations directly in the chat.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
80,app integration with tv and streaming services,user would like the app to be integrated with their tv and streaming services.,cluster 8,cluster 8 - code advice button clarity assistant categorize bus appropriate availability big
81,more titles and suggestions,user wants more titles and suggestions in their desired categories.,cluster 13,cluster 13 - chat bubble card adventure assistant advice appropriate 2fa apple absence
82,improve show descriptions,user had to visit imdb to understand the show's plot as the netflix description was not informative.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
83,more categories,user would like more categories to choose from.,cluster 3,cluster 3 - additional alternative apple clarity category authentication advice assistant attempt command
84,expand recommendations,increase the number of titles available in the service.,cluster 13,cluster 13 - chat bubble card adventure assistant advice appropriate 2fa apple absence
85,richer content descriptions,provide more detailed information about each title.,cluster 13,cluster 13 - chat bubble card adventure assistant advice appropriate 2fa apple absence
86,title twins,recommend similar titles based on user preferences.,cluster 13,cluster 13 - chat bubble card adventure assistant advice appropriate 2fa apple absence
87,mood-based recommendations,suggest titles based on user's mood and timing.,cluster 10,cluster 10 - command appropriate ability bubble clip box bookmark ai category advice
88,profile matching,connect multiple profiles to find common title preferences.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
89,ai chat assistant,implement an ai assistant that learns from user's prompts and history.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
90,no pictures in the app,user mentioned the absence of pictures in the app.,cluster 1,cluster 1 - bookmark 2fa available accuracy card choice click annoying clarity alternative
91,sports preferences,"user suggests improving sports recommendations by filtering out sports they don't like, such as f1.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
92,training the algorithm,user is unsure if giving feedback is training the algorithm.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
93,more feedback options,"user suggests more feedback options, such as liked or didn't like.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
94,preference settings issue,"user unable to change preferences, receiving unwanted adventure recommendations.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
95,poor recommendations,user did not find any good recommendations and had to rely on external sources.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
96,issue with sms-code input,user got stuck after receiving the sms-code and couldn't write the code in.,cluster 9,cluster 9 - actively category annoying attempt bus age clarity click 2fa actionable
97,report bugs,user wants to know how to report bugs and duplicates in movie recommendations.,cluster 2,cluster 2 - active authentication adventure behavior 2fa affordance code auto clear advice
98,remove movie from recommendations,user wants the ability to remove a specific movie/series from their recommendations.,cluster 2,cluster 2 - active authentication adventure behavior 2fa affordance code auto clear advice
